suscribed,age,job,education,marital,Income,Kidhome,Teenhome
no,38,Non-active,Basic education,MARRIED,161770,1,0
no,57,Industry,High school,MARRIED,85477,1,1
no,37,Industry,High school,MARRIED,147233,1,1
no,40,Administration,Basic education,MARRIED,121393,1,2
no,56,Industry,High school,MARRIED,63164,1,2
no,45,Industry,Basic education,MARRIED,143854,0,1
no,59,Administration,Professional Course,MARRIED,76439,1,0
no,38,Industry,Unknown,MARRIED,159686,1,1
no,24,Administration,Professional Course,SINGLE,179933,0,0
no,25,Industry,High school,SINGLE,77504,1,0
no,41,Industry,Unknown,MARRIED,92882,1,1
no,25,Industry,High school,SINGLE,84813,0,1
no,29,Industry,High school,SINGLE,102006,0,1
no,57,Non-active,Basic education,DIVORCED,140801,2,1
no,35,Industry,Basic education,MARRIED,73262,2,2
no,54,Non-active,Basic education,MARRIED,117422,1,2
no,35,Industry,Basic education,MARRIED,70235,1,1
no,38,Industry,Basic education,MARRIED,106688,1,1
no,50,Industry,Basic education,MARRIED,99745,2,2
no,39,Administration,Basic education,SINGLE,173275,2,0
no,30,Non-active,High school,MARRIED,32331,1,2
no,55,Industry,Basic education,MARRIED,158116,0,2
no,55,Non-active,High school,SINGLE,38474,0,0
no,38,Administration,High school,SINGLE,179682,2,0
no,37,Administration,High school,MARRIED,49728,1,2
no,35,Administration,University,MARRIED,176324,1,0
no,38,Administration,Unknown,MARRIED,104766,0,2
no,39,Independent,Basic education,MARRIED,118851,0,2
no,54,Administration,University,SINGLE,54609,1,1
no,55,Not specified,University,MARRIED,75488,1,1
no,46,Administration,Unknown,MARRIED,172888,1,2
no,59,Administration,Unknown,MARRIED,90838,1,0
no,49,Industry,Unknown,MARRIED,20361,2,0
no,54,Administration,Basic education,MARRIED,128876,0,2
no,38,Industry,Basic education,DIVORCED,121937,2,2
no,55,Not specified,Basic education,MARRIED,73868,1,1
no,34,Industry,High school,MARRIED,83851,1,1
no,52,Administration,Basic education,MARRIED,71669,2,2
no,41,Administration,University,MARRIED,50412,0,0
no,56,Administration,Basic education,MARRIED,35940,1,0
no,58,Administration,University,,131696,2,0
no,32,Independent,High school,MARRIED,55182,2,0
no,38,Administration,Professional Course,SINGLE,170859,2,2
no,38,Administration,University,MARRIED,65477,0,0
no,44,Administration,University,MARRIED,122815,2,1
no,42,Administration,Professional Course,SINGLE,52087,0,2
no,57,Administration,University,MARRIED,136434,1,1
no,40,Industry,Basic education,MARRIED,48855,2,1
no,35,Administration,University,MARRIED,14091,1,2
no,45,Industry,Basic education,MARRIED,49376,1,2
no,54,Administration,High school,MARRIED,141524,1,2
no,39,Non-active,Basic education,MARRIED,139751,0,2
no,60,Administration,High school,MARRIED,175358,2,1
no,38,Administration,Professional Course,SINGLE,43378,1,0
no,55,Industry,Basic education,MARRIED,171806,2,1
